id,climate,energy,environment,resources,sustainability,dedicated
GPM07-TPPED,0,0,0,0,0,0
GPM07-DISP,0,0,0,0,0,0
GPM07-ELEC,0,0,0,0,0,0
GPM07-TPMA RI,0,0,0,0,0,0
GPM07-TPMA,0,0,0,0,0,0
GPM07-MECA,0,0,0,0,0,0
GPM07-DRX,0,0,0,0,0,0
GPM07-CRIS,0,0,0,0,0,0
GPM06-ELEC,0,0,0,0,0,0
DET05-SPB,0,0,0,0,0,0
DET05-WTLB,0,0,0,0,0,0
DET05-ELEC,0,0,0,0,0,0
EII07-OM,0,0,0,0,0,0
EII07-VHDL,0,0,0,0,0,0
EII07-POO,0,0,0,0,0,0
EII07-BdC,0,0,0,0,0,0
EII07-ARC,0,0,0,0,0,0
HUMF2-THEA,0,0,0,0,0,0
STP01-PPI,0,0,0,0,0,0
STP01-OI,0,0,0,0,0,0
STP01-SA,0,0,0,0,0,0
STP01-RUS,0,0,0,0,0,0
STP01-POR,0,0,0,0,0,0
STP01-JAP,0,0,0,0,0,0
STP01-ITA,0,0,0,0,0,0
STP01-CHI,0,0,0,0,0,0
STP01-ARA,0,0,0,0,0,0
STP01-ESP,0,0,0,0,0,0
STP01-ALL,0,0,0,0,0,0
STP01-EPS,0,0,0,0,0,0
STP01-COMM,0,0,0,0,0,0
STP01-ANGL,0,0,0,0,0,0
STP01-SIND,0,0,0,0,0,0
STP01-PHYS,0,0,0,0,0,0
STP01-IMAG,0,0,0,0,0,0
STP01-CHIM,0,0,0,0,0,0
STP01-ELEC,0,0,0,0,0,0
GPM06-SC,0,0,0,0,0,0
GPM06-PS,0,0,0,0,0,0
GPM06-CERA,0,0,0,0,0,0
GPM06-CN,0,0,0,0,0,0
GPM06-TM,0,0,0,0,0,0
GPM06-TP,0,0,0,0,0,0
GPM06-CONF,0,0,0,0,0,0
GPM06-POMA,0,0,0,0,0,0
GPM05-COMP,0,0,0,0,0,0
GPM05-PM,0,0,0,0,0,0
EII06-TS,0,0,0,0,0,0
EII06-PJM,0,0,0,0,0,0
EII06-SMC,0,0,0,0,0,0
EII06-PS,0,0,0,0,0,0
EII06-ELE,0,0,0,0,0,0
STP01-OMSP,0,0,0,0,0,0
STP01-ANAL,0,0,0,0,0,0
STP01-MECA,0,0,0,0,0,0
STP01-ALG,0,0,0,0,0,0
HUMF1-ES,0,0,0,0,0,0
HUMF1-LUM,0,0,0,0,0,0
HUMF1- AP,0,0,0,0,0,0
GPM05-MQ,0,0,0,0,0,0
GPM05-IM,0,0,0,0,0,0
GPM05-CONF,0,0,0,0,0,0
GPM05-TP,0,0,0,0,0,0
GPM05-POMI,0,0,0,0,0,0
GPM05-SMATH,0,0,0,0,0,0
EII05-MATH,0,0,0,0,0,0
EII05-SIG2,0,0,0,0,0,0
EII05-PROBA,0,0,0,0,0,0
GMA09-SYSME,0,0,0,0,0,0
GMA09-ROBOT,0,0,0,0,0,0
GMA09-MNEF,0,0,0,0,0,0
GMA09-CMP,0,0,0,0,0,0
GMA09-MECAFORM,0,0,0,0,0,0
HUMF2-MUS,0,0,0,0,0,0
GMA08-STAGE,0,0,0,0,0,0
GMA08-MOROB,0,0,0,0,0,0
GMA08-PROD,0,0,0,0,0,0
GMA08-PRCONS,0,0,0,0,0,0
GMA08-COMP,0,0,0,0,0,0
GMA08-CMAT,0,0,0,0,0,0
GMA07-PRIND,0,0,0,0,0,0
GMA07-EEP,0,0,0,0,0,0
GMA07-AUTO2,0,0,0,0,0,0
GMA07-PUIS,0,0,0,0,0,0
GMA07-CMAO2,0,0,0,0,0,0
GMA07-RDM2,0,0,0,0,0,0
ESM06-AUTO,0,0,0,0,0,0
GMA06-MOPI,0,0,0,0,0,0
GMA06-PCO,0,0,0,0,0,0
GMA06-DICM,0,0,0,0,0,0
GMA06-RDM,0,0,0,0,0,0
GMA06-MDF,0,0,0,0,0,0
GMA06-CDM,0,0,0,0,0,0
GMA06-PRO PPS FISA,0,0,0,0,0,0
GMA06-PRO MISSI FISA,0,0,0,0,0,0
GMA06-EPS FISA,0,0,0,0,0,0
